ON,$ON
REPORTABLE,RPB
REPLACE,RPC
REPLACED,RPC
REPLACEMENT,RPC
REPORTED,RPD
REPEAT,RPE
REPEATING,RPE
REPETITION,RPE
REPORTING,RPG
REPURCHASE,RPH
REPORTING_INSTRUCTION,RPI
REPLY,RPL
REPORT_PARAMETER,RPM
REPRICING,RPN
REPO,RPO
REPRINT,RPR
REPORT,RPT
REQUESTED_BY,RQB
REQUIREMENT_DEPENDENCY,RQD
REQUEST_FOR_INVESTIGATION,RQI
REQUIRED,RQM
REQUIREMENT,RQM
REQUESTOR,RQR
REQUEST_TYPE,RQT
RECOURSE,RRE
ROLL,RRL
RELATIVE_RECORD_NUMBER,RRN
REROUTE,RRO
RECURRING,RRR
RESTART,RRT
RECRUITER,RRU
REPURCHASE_SERV_AGREEMENT,RSA
REASON_CODIFICATION,RSC
RESEND,RSD
RESET,RSE
RESEARCH,RSH
RISK,RSK
RESULT,RSL
RESULTING,RSM
REASON,RSN
RESPONSE,RSO
RESPOND,RSP
RESPONSIBILITY,RSP
RESPONSIBLE,RSP
RESOURCE,RSR
RESTORE,RST
RESERVATION,RSV
RESERVE,RSV
RESERVED,RSV
#RATE,RT
REPORT_APPLICATION,RTA
REMITTANCE_BANK,RTB
RETRACT,RTC
RETRACTABLE,RTC
REPORT_CODE,RTD
REMITTANCE,RTE
RATING,RTG
RETIREMENT,RTI
REAL_TIME_LINK,RTL
REAL-TIME,RTM
RATIO,RTO
RESTRICTED,RTR
RESTRICTING,RTR
RESTRICTION,RTR
ROTATE,RTT
ROTATION,RTT
RETURN,RTU
RETRY,RTY
RULE_CRITERIA,RUC
RULE,RUL
RULER,RUL
RUN,RUN
RUNNING,RUN
RUPTURE,RUP
RECUPERATE,RUR
RECUPERATION,RUR
RULE_VERSION,RUV
REVALUATION,RVA
RECOVERED,RVD
REVENUE,RVE
REVISED,RVI
REVISION,RVI
REVOCATION,RVK
REVOKED,RVK
REVENUE_VOLUME,RVL
REEVALUATION,RVN
REVENUE_OBJECT,RVO
RECOVER,RVR
RECOVERY,RVR
REVISE,RVS
REVIEW,RVW
REVIEW_DATE,RWD
SUBACCOUNT,SAC
SPREAD,SAD
SPACE,SAE
STAGE,SAG
SCALE,SAL
SAME,SAM
SUBANALYSIS,SAN
STANDARD_AND_POOR,SAP
SUB_APPLICATION,SAP
SAS,SAS
SATISFACTION,SAT
SATURDAY,SAT
SAVE,SAV
STORAGE_AREA_NETWORK,SAW
SUBDIVISION,SBD
SUB_FUND,SBF
SEC_BLOCK_INSTRUCTION,SBI
SUBJECT,SBJ
SUBLEDGER,SBL
$SUBSTITUTION,SBN
SUBSIDIARY,SBR
SUBSYSTEM,SBS
SUBTYPE,SBT
SCHEMA_A,SCA
SOURCE_BATCH,SCB
SECURITY_CASH_COLLATERAL,SCC
SCHEME_DETAIL,SCD
SOURCE,SCE
SCHEMA,SCH
SCHEME,SCH
SEC_CLEARING_INSTRUCTION,SCI
SUBCLASS,SCL
SYSTEM_COM,SCM
SCAN,SCN
SCARTO,SCO
SCOPE,SCP
SCREEN,SCR
SPECIAL_CARE_LIST,SCS
SEC_CLEARING_TRANSACTION,SCT
SECURE,SCU
SECURED,SCU
SECURITIES_ON_THE_WEB,SCW
SECRETARY,SCY
RABL_BORROWING,SDB
SECURITY_DOCUMENT,SDC
STARTING_DATE,SDD
STANDING_INSTRUCTION,SDI
RABL_LENDING,SDL
SUBSCRIBER_ID_MODULE,SDM
STANDARD_DEVIATION,SDN
SEDOL,SDO
SAME_DAY_REALIGNMENT,SDR
SAME_DAY_SETTLEMENT,SDS
SETTLED_ON_TIME,SDT
RABL,SDV
SECONDARY,SDY
SEASONING,SEA
SECURITY,SEC
SETTLED,SED
SEGMENT,SEG
SEALING,SEI
SELECTION,SEL
SEND,SEN
SENDER,SEN
SENDING,SEN
SENT,SEN
SET_ONE,SEO
SEPARATOR,SEP
SEQUENCE,SEQ
SEQUENCER,SEQ
SECTOR,SER
SESSION,SES
SECURITY_TRANSACTION,SET
SEVERITY,SEV
SEX,SEX
SETTLEMENT_TYPE,SEY
SEC_AND_FUTURES_AUTHORITY,SFA
SECOND_FORECAST,SFC
SUPPLEMENTARY_FEE,SFE
SAFETY,SFT
SOFTWARE,SFW
$SIGNAL,SGA
STRATEGIC,SGC
SINGLE,SGE
SEGA,SGG
STRENGTH,SGH
SEGLOOP,SGL
SIGN,SGN
SIGNING,SGN
SUBGROUP,SGP
SETTLEMENT_GROUP,SGR
SUGGESTED,SGS
SIGNATURE,SGT
SHARE_BALANCE,SHB
SHORT_CODE,SHC
SCHEDULE,SHD
SCHEDULED,SHD
SCHEDULER,SHD
SHEET,SHE
SHIFT,SHF
SHORTAGE,SHG
SHAREHOLDER,SHL
SHARELENDING,SHL
SHORT_POSITION,SHO
SHIPMENT,SHP
SHARE,SHR
SHORT,SHT
SHOWN,SHW
SIBLING,SIB
STANDARD_INDUSTRY_CLASS,SIC
SECURITY_IDENTIFICATION,SID
SITE,SIE
SIMPLE,SIM
SALES_TO_BE_INVOICED,SIN
SITUATION,SIT
SIXTH,SIX
SANITY,SIY
SKIP,SKI
SKILL,SKL
SAFEKEEPING,SKP
SERVICE_LEVEL_AGREEMENT,SLA
SALEABILITY,SLB
SLICE,SLC
SPECIALIZED_DEPOSITARY,SLD
SALE,SLE
SALES,SLE
SHELF,SLF
SECURITY_LENDING,SLG
SLASH,SLH
SECURITY_LENDING_INSTRUCT,SLI
SELL,SLL
SELLER,SLL
SELLING,SLL
SOLD,SLL
SECURITY_LINKAGE,SLN
SETTLEMENT_PROCESS,SLP
SOLICITATION,SLT
SLAVE,SLV
SALARY,SLY
SETTLEMENT_BOX,SMB
SCHEDULER_INFO_MANAGER,SMG
SMALL_INTEGER,SMI
SIMILAR,SML
SUM,SMM
SIMULATION,SMN
STAMP,SMP
SUMMER,SMR
SHORT_MEDIUM_TERM_NOTE,SMT
SIMULTANEOUS,SMU
SYSTEM_NTWRK_ARCHITECTURE,SNA
SINCE,SNC
SECOND,SND
SHARED_NETWORK_INTERFACE,SNI
SCENARIO,SNO
SENSITIVITY,SNS
SUPRANATIONAL,SNT
SENIORITY,SNY
SOCIAL,SOC
SUBORDINATION,SOD
SOGEI,SOG
SECURITY_OTHER_IDENTIF,SOI
SOLUTION,SOL
STOP,SOP
SPONSOR,SOR
SPOT,SOT
SOVEREIGN,SOV
SECURITY_PARAMETER,SPA
SERVICE_PRODUCT_ACTIVITY,SPB
$SPECIFICATION,SPC
SPECIFIC,SPC
SPEED,SPD
SPECIAL,SPE
STRIPPING,SPG
SPANISH,SPH
SPLIT,SPI
SPECIALIZED,SPL
SPECIMEN,SPM
STANDARD_PARTY_NUMBER,SPN
SPOOLING,SPO
SUPPLY,SPP
SEPTEMBER,SPR
SUPPRESS,SPS
SUPPORT,SPT
SPECULATION,SPU
SPECIAL_VALUE,SPV
SUPPLEMENTARY,SPY
#SECURITY_QUOTATION,SQ
STRUCTURED_QUERY_LANGUAGE,SQL
SQL_SERVER,SQS
SPOT_RATE,SRA
SECURITY_COLLATERAL,SRC
STORE,SRE
STORED,SRE
STRING,SRG
SEARCH,SRH
SEC_REALG_INSTRUCTION,SRI
STRIKE,SRK
SERIAL,SRL
STREAM,SRM
STRIPE,SRP
SURPRISE,SRS
SORT,SRT
SERVICE,SRV
SUNDRY,SRY
SECURITY_SUBSTITUTION,SSB
SUBSCRIBE,SSC
SUBSCRIBED,SSC
SUBSCRIBER,SSC
SUBSCRIPTION,SSC
SCHEDULED_SEC_ENTITLEMENT,SSE
SOCIAL_SECURITY_OFFICE,SSO
SUBSCRIPT,SSP
SUCCESSOR,SSR
SNAPSHOT,SST
STATISTIC,STA
STATIC,STB
STRUCTURE,STC
STRUCTURED,STC
STANDARD,STD
STATE,STE
STAFF,STF
STARTING,STG
SOUTH,STH
SEC_TRANS_INSTRUCTION,STI
STOCK,STK
SETTLEMENT,STL
STATEMENT,STM
STANDARD_NARRATIVE,STN
STORAGE,STO
DATA_PROCESSING_STEP,STP
STEP,STP
STREET,STR
START,STT
STARTED,STT
STARTUP,STT
STATUS,STU
STRATEGY,STY
SUB,SUB
SHUTDOWN,SUD
SUPER,SUE
SUPERIOR,SUE
SUFFIX,SUF
SUPPLIER_GROUP,SUG
SUMMARY,SUM
SUNDAY,SUN
SUPPLIER,SUP
SUSPENDED,SUS
SUSPENSE,SUS
SUBMIT,SUT
SUBMITTED,SUT
SECURITY_VALUE_ESTIMATION,SVE
SURVEILLANCE,SVL
SEVENTH,SVN
SERVER,SVR
SUPERVISOR,SVS
SWEDEN,SWD
SWIFT,SWI
SWAP,SWP
SWITCH,SWT
SWITCHING,SWT
STOCK_EXCHANGE,SXC
SERVICE_PRODUCT,SXP
SYSTEM_SLAB,SYB
SYNCHRONOUS,SYC
SYNDICATE,SYD
SYSTEM_SBI,SYI
STYLE,SYL
SYMBOL,SYM
SYNCHRONIZATION,SYN
SYNCHRONIZED,SYN
SYSTEM_PROCESS,SYP
SYSTEM,SYS
SYNCPOINT,SYT
SYSTEM_W,SYW
SIZE,SZE
TRANSFER_AGENT_ATTORNEY,TAA
TABLE,TAB
TAX_CLAIM,TAC
TAG,TAG
TAKEN,TAK
TACL,TAL
TAPE,TAP
TARIFF,TAR
TASK,TAS
TAX,TAX
TO_BE_AUTHORIZED,TBA
TO_BE_COMPLETED,TBC
TO_BE_CONTROLLED,TBC
TO_BE_FAXED,TBF
TO_BE_INSTALLED,TBI
TO_BE_PRINTED,TBP
TO_BE_RECONCILED,TBR
TABLESPACE,TBS
TRUNCATED,TCD
TEMPORARY_CREDIT_EXTENS,TCE
TRANSACTION_GROUP,TCG
TEMPORARY_CREDIT_LIMITAT,TCL
TCPIP,TCP
TO_BE_CREDITED,TCR
TWO_DAYS_DELAY,TDE
TRADITIONAL,TDL
TO_DATE,TDT
TODAY,TDY
TECHNICAL,TEC
TREE,TEE
TELEPHONE,TEL
TELEPHONY,TEL
TEAM,TEM
TAX_ENTITLED_POSITION,TEP
TERM,TER
TRANSFER_RATE,TFR
TRIGGERED,TGD
TRADE_GUARANTOR_ORG,TGO
TARGET,TGT
THIRD,THD
THEORETICAL,THE
THIRTEENTH,THH
THRESHOLD,THL
THEORETICAL_QUOTATION,THQ
THREAD,THR
THETA,THT
THURSDAY,THU
#TIME,TI
TIER,TIE
TIMING,TIM
TEST_INPUT,TIN
TIP,TIP
TIPS,TIP
TOKEN,TKN
TELEKURS,TLK
TELON,TLN
TRAILER,TLR
TELEX,TLX
TIME_AND_ATTENDANCE,TMA
TIME,TME
TRANSMISSION_FLAG,TMF
TIME_GAP,TMG
TRANSMIT,TMI
TIME_TO_LIVE,TML
TRANSMISSION,TMN
TIMEOUT,TMO
TEMPORARY,TMP
TOMORROW,TMR
TIMESTAMP,TMS
TIMESHEET,TMT
TRANSFER_AGENT,TNA
TANDEM,TND
TRAINING,TNG
TENOR,TNR
TO_BE,TOB
TOTAL_CLAIM,TOC
TOLERANCE,TOL
$TO,TOO
TOP,TOP
TRANSFER_OWN_RULE,TOR
TOTAL,TOT
TEMPLATE,TPL
TRANSFER_PRICE,TPR
TEMPORIS,TPS
TRANSPORT,TPT
THIRD_PARTY,TPY
TRACE,TRA
TRANSFER_BALANCE,TRB
TRANCHE,TRC
TRADABLE,TRD
TRADE,TRD
TRADING,TRD
TREATED,TRE
TREATMENT,TRE
TRANSFER,TRF
TRIGGER,TRG
TRIGGERING,TRG
TRIPLET,TRI
TRUNK,TRK
$TRANSLATION,TRL
TERMINAL,TRM
TRANSFER_IN,TRN
TRIPARTY,TRP
TAX_REFUND_REQUEST,TRR
TRANSACTION,TRS
TRANSIT,TRT
TRANSITION,TRT
TRANSITORY,TRT
TRUST,TRU
TRAX,TRX
TRY,TRY
#TIMESTAMP,TS
THE_SECURITIES_ASSOC,TSA
TRANSIENT_DATA,TSD
TEMPORARY_STORAGE,TSG
TRANSHIPMENT,TSH
TESTKEY,TSK
TIME_SHARING_OPTION,TSO
TEST,TST
TELEX_SWIFT,TSW
TREASURY,TSY
TENTH,TTH
TRANSACTED_TYPE_INDICATOR,TTI
TITLE,TTL
TIME_TO_MATURITY,TTM
TIME_TRACKING_SYSTEM,TTS
TREATY,TTY
TURNAROUND,TUA
TUESDAY,TUE
TURNOVER,TUR
TRIWEB,TWB
TWENTY_FIRST,TWF
TWELFTH,TWH
TWO,TWO
TWENTY_SECOND,TWS
TWENTY_THIRD,TWT
#TEXT,TX
TAXABLE,TXB
TAX_PAYMENT,TXP
TEXT,TXT
TYPE,TYP
TREASURY_SHEET,TYS
USER_ACCESS_MANAGEMENT,UAM
UNPAID_BALANCE,UBL
UNCLASSIFIED,UCF
UNCONDITIONAL_CASH_MOVMNT,UCI
UNDATED,UDD
UNDERLINE,UDL
UNDERTAKING,UDT
UNEXECUTED,UEX
USEFUL,UFU
UNITED_KINGDOM_BACKUP,UKB
UK_GILT,UKG
UNKNOWN,UKN
UNLOAD,ULD
UNLISTED,ULI
UPLOADED_MOVEMENT,UMV
UNATTRIBUTED,UNA
UNBLOCKED,UNB
UNDER,UND
UNDERLYING,UNL
UNMATCHED,UNM
UNNAMED,UNN
UNPAID,UNP
$UNIQUE,UNQ
UNRECONCILED,UNR
UNSECURED,UNS
UNIT,UNT
UNAVAILABILITY,UNV
UNAVAILABLE,UNV
UNDERWRITING,UNW
UNIT_OF_DENOMINATION,UOD
UNIT_OF_RECOVERY,UOR
UNIT_OF_WORK,UOW
UNPUBLISHED,UPB
UPPERCASE,UPC
UPDATE,UPD
UPLOAD,UPL
UPLOADED,UPL
UPLOADING,UPL
UPPERMOST,UPP
UPPER,UPR
UPDATE_POINTERS,UPT
URGENT,URG
UNIFORM_RESOURCE_LOCATOR,URL
UPDATE_RULE,URU
UNITED_STATES,USA
UNITED_STATES_DOLLAR,USD
US_DOLLAR_FREE,USF
USAGE,USG
US_DOLLAR_OFFICIAL,USO
$USE,USR
USED,USR
USER,USR
UNSETTLED,UST
UP_TO_DATE,UTD
UTILITY,UTI
UNEXPLAINED,UXP
VARIANCE,VAC
VALUE_DATE_AFTER_RUNDATE,VAD
$VALUE,VAL
VARIABLE,VAR
VALUE_ADDED_TAX,VAT
VALUE_DATE_BEFORE_RUNDATE,VBD
VISUAL_BASIC,VBS
VOLUNTARY_CORP_ACTION,VCA
VOICE,VCE
VARCHAR,VCH
VERTICAL,VCL
VACATION,VCT
VALUE_DATED,VDT
VALIDITY,VDY
VERSION_CONTROL,VEC
VEGA,VEG
VENTILATION,VEN
VETO,VEO
VERIFICATION,VER
VERIFIER,VER
VERIFY,VER
VERSUS,VES
VIEW,VEW
VISUALAGE,VGE
VOUCHER,VHR
VISIBILITY,VIS
#VALUE,VL
VALUE_ADDED,VLA
VALID,VLD
VALIDATED,VLD
VALIDATION_INPUT,VLI
VALIDATION,VLN
VAULT,VLT
VALUATION,VLU
VENDOR,VND
VOLUME,VOL
VOTE,VOT
VOTING,VOT
VP_LINK,VPL
VIRTUAL_RESOURCE,VRC
VALIDATION_RULE,VRL
VARIABLE_RATE_NOTE,VRN
VERSO,VRO
VERSION,VRS
VIRTUAL,VRT
VALUE_RULE,VRU
VSAM,VSM
VISIO,VSO
VEST,VST
VESTING,VST
VOLATILITY,VTL
VARIATION,VTN
VOLUME_TEST,VTT
WAIT,WAI
WAITING_LIST,WAI
WATCHLIST,WAT
WORK_BREAKDOWN_STRUCTURE,WBS
WHATEVER_THE_DELAY,WDE
WIDTH,WDH
WITHDRAWAL,WDR
WINDOW,WDW
WEB,WEB
WEDNESDAY,WED
WEEK,WEK
WEEKLY,WEK
WELCOME,WEL
WAITING_FINAL_INFORMATION,WFI
WORKFLOW,WFL
WORKFLOW_MANAGER,WFM
WINGEST,WGS
WEIGHT,WGT
WEIGHTED,WGT
WITHHOLDING,WHL
WIRE,WIR
WIRE_TRANSFER,WIT
WEEKEND,WKE
WORKLOAD,WKL
WERTPAPIER_KENNNUMMER,WKN
WORKSTATION,WKS
WORLD,WLD
WARNED,WND
WARNING,WNG
WINDOWS_NT,WNT
WITHOUT,WOT
WEB_PUBLISHING,WPB
WORD,WRD
WRITE,WRI
WORK,WRK
WORKING,WRK
WARRANT,WRT
WORST_CASE,WSC
WORKSHEET,WSH
WHOLESALE,WSL
WORST,WST
WITH,WTH
WINTER,WTR
WORK_WITH,WWH
WORLD_WIDE_NAME,WWN
WATCH_WORD,WWO
WORLD_WIDE_WEB,WWW
EXAM,XAM
EXAMINATION,XAM
EXCEPTION,XCP
EXACT,XCT
EXCEL_SHEET,XLS
EXTENDED_MARKUP_LANGUAGE,XML
XPATH,XPH
EXAMPLE,XPL
EXPANSION,XPN
EXPERT,XPR
EXPERTISE,XPR
CROSS_PLATFORM_SCHEDULER,XPS
EXPONENTIAL,XPT
CROSS_REFERENCE,XRF
EXTERNAL_STATUS,XST
X25,X25
YESTERDAY,YDY
YEAR,YEA
YEARLY,YEA
YIELD,YLD
YEAR_MONTH_BASIS,YMB
YEAR_TO_DATE,YTD
YOU_WILL_RECEIVE,YWR
YEAR_TWO_THOUSAND,Y2K
ZERO,ZER
ZIP,ZIP
ZONE,ZNE
